MolWt,MolLogP,NumHDonors,NumHAcceptors,RingCount,TPSA,NumRotatableBonds,NumAromaticRings,NumSaturatedRings,NumAliphaticRings,NumAromaticHeterocycles,NumAliphaticHeterocycles,NumAromaticCarbocycles,NumAliphaticCarbocycles,NumHeteroatoms,FractionCSP3,HallKierAlpha,Kappa3,LabuteASA,BalabanJ,BCUT2D_MWHI,BCUT2D_MWLOW,EState_VSA1,EState_VSA2,CID
512.4580000000004,4.6330000000000044,1,6,4,75.94,5,3,1,1,2,1,1,0,13,0.391304347826087,-3.6399999999999983,5.439959930237106,201.70014131232833,1.6106378359949245,19.413290853083414,9.875950936952732,54.31200465178039,23.750475173444528,130341790
434.39700000000016,3.5832000000000024,2,6,4,84.73,5,3,1,1,2,0,1,1,11,0.3,-3.4999999999999987,4.648002045437943,174.0327262450955,1.480162878970306,19.41320453490928,10.095300661882508,23.46415057953787,23.464995927827943,118308301
411.50900000000007,4.265120000000003,1,5,5,72.7,5,4,1,1,2,0,2,1,6,0.28,-3.5399999999999983,4.057876127753463,180.86732909591427,1.345127486907456,16.14954869437779,9.960244553288378,0.0,11.949020558499466,131709622
428.89900000000017,3.8076000000000025,1,6,4,75.94,5,3,1,1,2,1,1,0,9,0.3333333333333333,-2.9999999999999987,4.136742315426601,178.4142998641903,1.6015486968622257,35.495691911092464,9.89581695925143,5.817220841045895,29.117764371041414,117727784
506.4390000000005,3.5457800000000015,1,8,4,112.62,5,3,1,1,2,1,1,0,14,0.36363636363636365,-4.149999999999999,5.241168005974279,201.11528714022208,1.63731575432865,19.41327204925925,9.873906317741648,48.494783810734496,29.307384944976622,130341784
506.59900000000033,3.381300000000002,1,6,6,92.44999999999999,7,2,2,4,1,1,1,3,8,0.5172413793103449,-3.2599999999999985,3.9286881114101426,216.3678348685762,1.3646814273699963,16.528762481579438,9.60144747830407,11.70501719873199,29.815947163160324,156020133
440.4500000000002,3.580020000000002,1,6,4,86.23,8,3,1,1,2,0,1,1,9,0.30434782608695654,-3.459999999999998,4.571173660047515,183.38778678462626,1.5681356249205212,19.143532323183063,9.932524307329711,22.967338197649962,24.93880643621237,56944620
457.3650000000002,4.593200000000004,1,6,4,83.9,5,3,1,1,2,1,1,0,9,0.3181818181818182,-2.7699999999999987,4.940815958837383,190.4156396246732,1.610926845985098,35.496784931259484,9.893378939316879,0.0,11.949020558499466,117727974
566.6540000000003,4.222700000000004,1,6,7,92.44999999999999,6,3,2,4,1,2,2,2,8,0.35294117647058826,-4.299999999999998,3.7757073630048255,244.37038392805937,1.2560012776615053,16.52994803955534,9.479447764488265,23.161848497276733,17.85620028785097,137632260
2783.1999999999953,-16.985100000000035,39,39,3,1248.4799999999996,91,1,2,2,1,2,0,0,77,0.6890756302521008,-19.56999999999996,63.948832930951326,1132.7170509528628,1.8372298600239696,16.375120630724165,9.962448249740723,443.18490492414315,145.18204529807778,44270620
433.55200000000013,3.9272000000000027,1,4,3,63.57000000000001,10,3,0,0,1,0,2,0,6,0.3076923076923077,-3.5399999999999983,6.001346876924878,189.36042986660658,1.708960068513939,16.476122911892496,10.00732082516021,0.0,17.85620028785097,59475183
479.8940000000004,4.082300000000003,1,7,4,88.83,5,3,1,1,2,1,1,0,12,0.38095238095238093,-3.2099999999999986,5.077873620039066,192.29841433379062,1.5549117712043332,35.495692102118085,9.89599987511195,11.870226512291936,23.684789382495886,117727960
