CID,Activity Type,Qualifier,Value,MolWt,MolLogP,NumHDonors,NumHAcceptors,RingCount,TPSA,NumRotatableBonds,NumAromaticRings,NumSaturatedRings,NumAliphaticRings,NumAromaticHeterocycles,NumAliphaticHeterocycles,NumAromaticCarbocycles,NumAliphaticCarbocycles,NumHeteroatoms,FractionCSP3,HallKierAlpha,Kappa3,LabuteASA,BalabanJ,BCUT2D_MWHI,BCUT2D_MWLOW,EState_VSA1,EState_VSA2
117630129,Ki,>,10.0,462.4320000000002,3.1568000000000014,0,8,4,95.26,5,3,1,1,2,1,1,0,12,0.3809523809523809,-3.6999999999999984,4.734520339872633,186.70392281391003,1.5468926486852792,19.41319136141828,9.981901841540148,17.843716396888773,17.9594853980863
86271500,Ki,>,10.0,411.39900000000017,4.353300000000004,1,4,3,54.46,4,2,1,1,1,1,1,0,9,0.4,-2.839999999999999,4.435465768775494,165.23369797761478,1.7570989157913282,19.41320345541235,9.958404615050403,17.556970850186364,29.303824712628327
86271500,Ki,>,10.0,411.39900000000017,4.353300000000004,1,4,3,54.46,4,2,1,1,1,1,1,0,9,0.4,-2.839999999999999,4.435465768775494,165.23369797761478,1.7570989157913282,19.41320345541235,9.958404615050403,17.556970850186364,29.303824712628327
90404497,Ki,>,10.0,444.4610000000002,4.094720000000003,1,6,4,75.94,4,3,1,1,2,1,1,0,10,0.3636363636363636,-3.4299999999999984,4.437319501950049,182.80704655755773,1.5372318217154977,19.4131868815372,9.955689763782118,11.73975000914047,17.990861387647428
90404497,Ki,>,10.0,444.4610000000002,4.094720000000003,1,6,4,75.94,4,3,1,1,2,1,1,0,10,0.3636363636363636,-3.4299999999999984,4.437319501950049,182.80704655755773,1.5372318217154977,19.4131868815372,9.955689763782118,11.73975000914047,17.990861387647428
117636019,Ki,>,10.0,452.4660000000004,2.946220000000001,1,9,4,101.72,4,3,1,1,3,1,0,0,13,0.4444444444444444,-3.089999999999999,4.35651832145396,178.85515935826697,1.5531420836857468,32.13358616865601,9.963494210905187,11.183922214296242,23.12241986748676
90405769,Ki,>,10.0,445.4490000000002,3.489720000000002,1,7,4,88.83,4,3,1,1,3,1,0,0,11,0.3809523809523809,-3.4999999999999987,4.411296,182.02669453850427,1.5372318217154972,19.4131872310002,9.960198623792246,11.73975000914047,17.990861387647428
90405769,Ki,>,10.0,445.4490000000002,3.489720000000002,1,7,4,88.83,4,3,1,1,3,1,0,0,11,0.3809523809523809,-3.4999999999999987,4.411296,182.02669453850427,1.5372318217154972,19.4131872310002,9.960198623792246,11.73975000914047,17.990861387647428
90404342,Ki,>,10.0,416.5250000000001,4.647500000000004,1,5,4,67.35,6,3,1,1,1,1,2,0,6,0.32,-3.4099999999999984,4.683692762451607,182.8482985529204,1.5080162154766226,16.47692723726911,9.960722694448918,0.0,17.990861387647428
90404342,Ki,>,10.0,416.5250000000001,4.647500000000004,1,5,4,67.35,6,3,1,1,1,1,2,0,6,0.32,-3.4099999999999984,4.683692762451607,182.8482985529204,1.5080162154766226,16.47692723726911,9.960722694448918,0.0,17.990861387647428
